device_id,user_id,device_type,device_model,os_version,app_version,device_fingerprint,is_trusted,first_seen_at,last_seen_at,created_at
2927c4b5-c7d0-4719-8715-4a4a09ad4fc9,6df2f683-42c2-4065-aeb2-d5439ad4f0f2,android,Samsung Galaxy S21,Android 13,3.0.2,4a0e6a06f17ec01863b743a3,True,2024-10-02 07:30:22,2025-08-22 17:50:03,2024-10-02 07:30:22
e5b161a7-359c-442d-a6ef-b1f70d18bd2a,9872dcd8-4069-4cac-9129-8df19c724d39,web,Chrome,Chrome 124,2.3.13,94bbc2faab97f55c8f132997,True,2025-08-27 21:58:49,2025-10-16 22:45:56,2025-08-27 21:58:49
32cf2cc8-666d-4504-b576-374f5dd519ea,9872dcd8-4069-4cac-9129-8df19c724d39,android,Samsung Galaxy S21,Android 12,3.4.11,8f28e965e6a45fc4ac88df81,True,2023-12-05 23:39:11,2025-03-20 23:28:27,2023-12-05 23:39:11
6644cc59-3e9c-4a41-8e03-e449366b4658,894e21f2-95f0-47b1-9942-b4a2592a470d,ios,iPhone 15,iOS 16.4,1.7.11,29e0bb4942cbc2e14195a963,True,2024-10-27 02:30:39,2024-11-12 21:02:11,2024-10-27 02:30:39
dd58e399-0f3d-479a-b51c-34988753a536,74de62a3-32e1-434b-823b-ebfdfd74cf01,ios,iPhone SE,iOS 17.2,2.6.12,724f313d2e36b74c8d592938,True,2025-03-24 21:39:44,2025-09-28 23:15:16,2025-03-24 21:39:44
20f02799-dd08-4a56-8109-69cbee0d5d4c,74de62a3-32e1-434b-823b-ebfdfd74cf01,android,OnePlus 9,Android 14,1.8.19,e184cc7bd42f97e0c4b783be,False,2025-03-01 02:19:50,2025-04-14 16:41:59,2025-03-01 02:19:50
881d25fb-5f7b-4e22-a5fb-65f18d1c5d41,2aa2c801-7569-4837-a2a5-9e52c444fe9a,android,Huawei P40,Android 13,3.2.5,e66e685bf2112955e010e6c9,True,2025-12-29 21:49:41,2026-01-10 08:06:13,2025-12-29 21:49:41
f6890fb8-85e8-476d-a017-19b66773940e,2aa2c801-7569-4837-a2a5-9e52c444fe9a,android,Samsung Galaxy S21,Android 11,5.9.11,19ca1ca1c596c316945079f4,True,2026-03-05 04:50:00,2026-03-07 02:07:53,2026-03-05 04:50:00
81e120d7-fe4a-419c-8d32-4cb11b112043,fcaa3dc3-eca3-4e3f-968e-85a1bcecc4b4,web,Safari,Safari 16.1,3.7.3,0ef860b9d92adfcb201e8f71,True,2025-11-15 08:40:19,2025-11-28 07:12:15,2025-11-15 08:40:19
4148e2c8-b911-4456-ba6a-92290931e556,fc134194-e6e1-411b-8f98-efa5a316e9fb,ios,iPhone 13,iOS 17.4,2.1.14,06ea7893c15e6eb756126d59,True,2025-06-27 19:17:38,2025-10-11 06:39:11,2025-06-27 19:17:38
fa6ef26e-bd26-45d0-bbe8-881d597a1618,6e99372f-d33b-48c9-8976-72a47ba7fcb1,android,Xiaomi Mi 11,Android 12,5.0.2,313254adceca4aa8bd05c6bc,True,2024-03-16 04:40:27,2024-08-27 02:11:28,2024-03-16 04:40:27
ba23f59f-adc9-4392-bcff-95865a11d8ef,3399de2a-32cd-4493-93f8-312e94daeb97,android,Huawei P40,Android 13,4.9.6,c1a0acefdee62f0124916beb,True,2026-01-16 13:02:19,2026-02-27 03:15:14,2026-01-16 13:02:19
4814e58c-1cdc-4861-a98c-89a0e96ccdf2,3399de2a-32cd-4493-93f8-312e94daeb97,ios,iPhone 15,iOS 14.5,4.9.1,22840c054ad1d52069d53a60,True,2024-05-26 00:56:22,2025-09-14 02:33:11,2024-05-26 00:56:22
e0abbe7a-2396-4bf2-9f83-3ecc84aad653,3399de2a-32cd-4493-93f8-312e94daeb97,ios,iPhone 12,iOS 14.4,3.9.20,153518b688e40d619e97b728,False,2025-02-08 19:51:57,2025-05-30 17:57:10,2025-02-08 19:51:57
ea2a31e0-4455-4dc6-9c40-f3a3be16907b,d58dec0f-140b-4181-a3bf-5c07b5e90ffe,android,Xiaomi Mi 11,Android 11,4.7.12,b0bfb95bb47bb88ecf52688a,True,2025-08-02 13:50:10,2025-08-24 18:55:08,2025-08-02 13:50:10
dbcb8972-9f2c-4659-b430-27d5ca70003e,d58dec0f-140b-4181-a3bf-5c07b5e90ffe,android,Samsung Galaxy S21,Android 13,3.1.17,93b0946b6499da2a5b2b4b2b,True,2026-01-22 09:40:12,2026-01-23 23:08:54,2026-01-22 09:40:12
435be025-3ec1-4a3e-82b1-f47963784ecb,1efd7b0c-c563-4acf-b894-becf975d162b,ios,iPhone 13,iOS 14.4,5.6.19,78afeb436b3e17ae936ea56e,True,2025-04-06 22:12:46,2025-08-09 11:02:41,2025-04-06 22:12:46
